	Entity Name	Alternative Name	Tag	Reference
265	Baldach 	Bagdad	Location	Murray
266	Baldwin II			Yule
267	Bali			Yule
268	Balk	Balkh	Location	Murray
269	Balkh	Balc		Yule
270	Balkhash Lake			Yule
271	Ballads			Yule
272	Ballard			Yule
273	Balor			Yule
274	Balthazar			Yule
275	Bamboo 			Yule
276	Bamian			Yule
277	Bamm			Yule
278	Bandar Abbás	Bandar–Abbási		Yule
279	Bandith			Yule
280	Bangala	Bengal	Location	Murray,Yule
281	Bangu	Eastern Siberia	Location	Murray
282	Banzaroff			Yule
283	Baptism			Yule
284	Bara			Yule
285	Barac 	Borrak		Yule
286	Baradaeus			Yule
287	Barbaro			Yule
288	Barbarossa			Yule
289	Barberino			Yule
290	Bardesir			Yule
291	Bardshír			Yule
292	Bargu	Barguchin Tugrum		Yule
293	Barguzinsk			Yule
294	Barin			Yule
295	Bark			Yule
296	Barka	Barca		Yule
297	Barka khan		Person	Murray
298	Barkul			Yule
299	Barlaam and Josaphat			Yule
300	Barley			Yule
301	Baroch			Yule
302	Barons		Person	Murray,Yule
303	Barozzi			Yule
304	Barros			Yule
305	Barsauma	St. Barsamo		Yule
306	Barskul	Barscol		Yule
307	Bartizan			Yule
308	Barus			Yule
309	Bascra 	Bussora	Location	Murray
310	Bashai	Pashai		Yule
311	Bashkirds			Yule
312	Bashpah			Yule
313	Basma			Yule
314	Basra 	Bastra		Yule
315	Bathang			Yule
316	Baths			Yule
317	Batigala			Yule
318	Batochina			Yule
319	Bats			Yule
320	Battas of Sumatra			Yule
321	Batthala			Yule
322	Battles			Yule
323	Baudas			Yule
324	Bavaria			Yule
325	Bawárij			Yule
326	Bayam		Person	Murray
327	Bayan			Yule
328	Bayan 	Baian		Yule
329	Bayan Chingsian			Yule
330	Bayezid Ilderim			Yule
331	Bdellium			Yule
332	Beads			Yule
333	Bears			Yule
334	Beast and bird patterns			Yule
335	Beaten gold			Yule
336	Beaujeu			Yule
337	Beauty of — Georgians			Yule
338	Beds			Yule
339	Beef			Yule
340	Bejas of the Red Sea Coast			Yule
341	Belgutai			Yule
342	Bell at Cambaluc			Yule
343	Bellal Rajas			Yule
344	Belor 	Beloor	Location	Murray
345	Benares			Yule
346	Bendocquedar			Yule
