	Entity Name	Alternative Name	Tag	Reference
162	Armenia		Location	Yule
163	Armenia the Greater		Location	Murray
164	Armenia the Lesser		Location	Murray
165	Armenian Christians		No	Yule
166	Armenians		No	Yule
167	Armillary Zodiacal Sphere		No	Yule
168	Armour of boiled leather		No	Yule
169	Arms of Kerman		No	Yule
170	Arredon 		No	Yule
171	Arrow Divination		No	Yule
172	Arrows		No	Yule
173	Artacki		No	Yule
174	Arts		No	Yule
175	Aru		No	Yule
176	Arucki		No	Yule
177	Aruk		No	Yule
178	Arulun Tsaghan Balghasun	ChaganNor	No	Yule
179	Arya Chakravarti		No	Yule
180	Aryavartta		No	Yule
181	Arzinga		Location	Murray,Yule
182	Arziron	Erzrum	Location	Yule
183	Arzizi	Arjísh	Location	Yule
184	Asbestos		No	Yule
185	Ascelin		Person	Murray
186	Asceticism of the Sensin		No	Yule
187	Asedin Soldan 	Ghaiassuddin Balban	No	Yule
188	Ashar 	Asciar	Person	Yule
189	Ashishin		No	Yule
190	Ashod		Person	Yule
191	Ashurada		No	Yule
192	Asikan		Person	Yule
193	Asoka		No	Yule
194	Assai 		Location	Yule
195	Assassins	Ashishin	No	Yule
196	Asses		No	Yule
197	Asterius		No	Yule
198	Astrakhan	Gittarchan	No	Yule
199	Astrolabe		No	Yule
200	Astrology		No	Yule
201	Astronomical instruments		No	Yule
202	Atabegs		No	Yule
203	Atjeh		No	Yule
204	Atkinsons Narratives		No	Yule
205	Atlas		No	Yule
206	Attalus		No	Yule
207	AtThaibi family		No	Yule
208	Auberoche		No	Yule
209	Audh	Oudh	No	Yule
210	Aufat		No	Yule
211	Augury		No	Yule
212	Aung Khan	Unc Can	No	Yule
213	Aurangzib		No	Yule
214	Aurora		No	Yule
215	Aussa		No	Yule
216	Avarian		No	Yule
217	Avebury		No	Yule
218	Avicennas classification of Iron		No	Yule
219	Axum		No	Yule
220	Ayas	Layas	No	Yule
221	Ayuthia		No	Yule
222	Azure		No	Yule
223	Aás		No	Yule
224	Aëtius		Person	Yule
225	Baatau		Person	Murray
226	Baba Buzurg		No	Yule
227	Baber		Location	Yule
228	Baboons		No	Yule
229	Babylon		Location	Yule
230	Babylonish garments		No	Yule
231	Baccanor		No	Yule
232	Bacon		No	Yule
233	Bacsi		No	Yule
234	Bactria		No	Yule
235	Bacu		Location	Yule
236	Badakhshan	Badashan	Location	Yule
237	Badascia 	Badakshan	Location	Murray
238	Badger		No	Yule
239	Badghís		No	Yule
240	Badruddín Lú-lú		No	Yule
241	Badáún		No	Yule
243	Baghdad	Baudas	Location	Yule
244	Bagratidae		No	Yule
245	BagrationMukransky		Person	Yule
246	Bahar		No	Yule
247	Bahrein		No	Yule
248	Bahrámábád		No	Yule
249	Bahránjird 		Location	Yule
250	Bahá-uddin Ayaz		No	Yule
251	Bahá-ul-hakh		Person	Yule
252	Bahárak		Location	Yule
253	Baiberdon		No	Yule
254	Baiburt	Paipurth	Location	Yule
255	Baidu Khan		Person	Yule
256	Bailo		No	Yule
257	Baiothony		Person	Murray
258	Bakhshi	Bacsi	No	Yule
259	Bakhtyáris of Luristán		No	Yule
260	Baksi		Person	Murray
261	Baku		Location	Murray,Yule
262	Balas rubies		No	Yule
263	BalaSagun		No	Yule
264	Baldac		Location	Yule
265	Baldach 	Bagdad	Location	Murray
266	Baldwin II		No	Yule
267	Bali		Location	Yule
268	Balk	Balkh	Location	Murray
269	Balkh	Balc	Location	Yule
270	Balkhash		Location	Yule
271	Ballads		No	Yule
272	Ballard		No	Yule
273	Balor		No	Yule
274	Balthazar		Person	Yule
275	Bamboo 		No	Yule
276	Bamian		No	Yule
277	Bamm		No	Yule
278	Bandar Abbás	BandarAbbási	No	Yule
279	Bandith		No	Yule
280	Bangala	Bengal	Location	Murray,Yule
281	Bangu	Eastern Siberia	Location	Murray
282	Banzaroff		No	Yule
283	Baptism		No	Yule
284	Bara		No	Yule
